capture_day,dimension,segment,n_listings,median_gross_revenue_proxy_90,gross_revenue_proxy_90_ci_low,gross_revenue_proxy_90_ci_high,median_annual_gross_base,median_adr,median_occupancy_proxy,q25_gross_revenue_proxy_90,q75_gross_revenue_proxy_90,strict_sample_share
2025-01-06,suburb_clean,Meia Praia,482,24025.939131539926,22203.67119585219,25403.46947925721,62117.06346300218,650.0,0.45555555555555555,16454.01990074265,35451.167860877846,0.6597510373443983
2025-01-06,suburb_clean,Tabuleiro dos Oliveiras,11,18075.22528609507,13899.77938450704,19723.122860061812,46731.988708424964,610.0,0.4,14271.615781165294,19311.2881788052,0.9090909090909091
2025-01-06,suburb_clean,Morretes,66,17900.687527570237,13677.895055258918,21107.08551147982,46280.73587857222,500.0,0.4,11966.804920132054,27449.966225720193,0.7575757575757576
2025-01-06,suburb_clean,Centro,168,17478.731777283603,16200.423681576653,18822.429440924043,45189.804449185314,601.0,0.34444444444444444,11836.284958282784,23898.35289512472,0.8035714285714286
2025-01-06,number_of_bedrooms,4,53,39714.93228983964,34998.4081865944,46389.530735649554,102679.64785768958,1000.0,0.4222222222222222,29390.362447980322,52997.731138209485,0.6792452830188679
2025-01-06,number_of_bedrooms,3,343,25346.648659576877,23270.470856736567,28178.32381466153,65531.647888614374,700.0,0.4444444444444444,18357.95934964748,38335.6043875731,0.6443148688046647
2025-01-06,number_of_bedrooms,2,241,18285.681565729697,16566.954561669034,19304.7417786674,47276.105881396994,500.0,0.4222222222222222,13325.941144622186,24113.66792764974,0.7344398340248963
2025-01-06,number_of_bedrooms,1,106,13903.95593720676,11277.425187291163,15941.007070069545,35947.51941265331,438.5,0.31666666666666665,8698.283618797845,19065.95331723943,0.8773584905660378
2025-01-06,listing_type,apartamento,709,21094.769603962162,20092.276186603427,22408.2655941296,54538.768913577165,621.66665,0.4111111111111111,14879.54907822559,32906.462805157054,0.7080394922425952
2025-01-06,listing_type,casa,36,19269.81551524943,12173.307039030571,26357.219572166574,49820.502196717796,500.0,0.4388888888888889,8462.261937830146,32314.28197234735,0.7222222222222222
2025-01-07,suburb_clean,Meia Praia,500,23019.009749744437,21110.30776498025,24751.044581960028,59513.73145715176,632.0,0.45555555555555555,15962.275503910474,34124.7736054452,0.668
2025-01-07,suburb_clean,Centro,175,17812.7360586688,16175.939583541334,19120.735231900606,46053.34468501662,604.0,0.34444444444444444,11901.469316224813,23930.54651560986,0.8
2025-01-07,suburb_clean,Tabuleiro dos Oliveiras,13,17192.683582621212,13536.34717662122,21220.365291569073,44450.25067923526,702.0,0.37777777777777777,13536.34717662122,21220.365291569073,0.8461538461538461
2025-01-07,suburb_clean,Morretes,61,17083.947222725667,15788.665215633615,20830.657609746435,44169.12188208865,500.0,0.4111111111111111,12032.615487422974,26446.737778164228,0.7213114754098361
2025-01-07,number_of_bedrooms,4,60,37682.93221205741,34100.671223258156,44913.177817263706,97426.08098992342,999.5,0.43333333333333335,28830.96480977156,52425.405160452356,0.6833333333333333
2025-01-07,number_of_bedrooms,3,344,24896.660935113956,23027.891970049157,27055.179735932863,64368.24212599253,700.0,0.4444444444444444,17229.6064285113,38289.90618004961,0.6482558139534884
2025-01-07,number_of_bedrooms,2,255,18010.945876052636,16908.903555943012,18895.547219968605,46565.799650377754,498.0,0.45555555555555555,12966.672849767321,23618.689616071366,0.7215686274509804
2025-01-07,number_of_bedrooms,1,101,14156.281818357711,10761.118504446184,16077.89677533908,36599.88695121233,427.0,0.3333333333333333,8339.382166629886,18885.59761831722,0.8910891089108911
2025-01-07,listing_type,apartamento,735,20822.18129081484,19939.87489809429,21581.916022302474,53834.01454562753,604.0,0.4111111111111111,14472.630343338436,31804.115344444726,0.7034013605442176
2025-01-07,listing_type,casa,31,17192.683582621212,9128.162165566428,26446.737778164228,44450.25067923526,793.0,0.3888888888888889,8263.893977423813,29939.994776531348,0.8064516129032258
2025-01-20,suburb_clean,Meia Praia,483,18789.789581795056,17612.36079842995,20020.653345676714,48579.435147932636,586.0,0.4,12130.795800421125,29442.24867132053,0.7246376811594203
2025-01-20,suburb_clean,Morretes,66,15419.01033936927,12115.832693957269,18051.10863642041,39864.56631491097,464.0,0.3833333333333333,9660.437800182799,21845.355278952455,0.7878787878787878
2025-01-20,suburb_clean,Centro,180,12653.275034517457,11464.313049072138,14697.110666483151,32713.988162158676,498.5,0.3,8554.695897722577,21533.971864055275,0.8166666666666667
2025-01-20,suburb_clean,Tabuleiro dos Oliveiras,16,12467.702950475039,6520.811665929462,20601.765556326143,32234.20700320734,509.0,0.3111111111111111,6504.158950189073,22012.502782150783,0.875
2025-01-20,number_of_bedrooms,4,53,33297.39130085726,27443.003315632493,38994.429992797915,86087.63042575806,900.0,0.4666666666666667,22452.221502042692,49505.26930071249,0.7169811320754716
2025-01-20,number_of_bedrooms,3,340,19927.365894341976,18532.288504992874,21746.190758887784,51520.543905996645,650.0,0.3888888888888889,13177.627983137047,31974.262090505705,0.7088235294117647
2025-01-20,number_of_bedrooms,2,262,14411.52533957917,13117.451030345877,15567.403422495534,37259.79780503698,450.0,0.37777777777777777,9467.235419533106,21456.491452889528,0.767175572519084
2025-01-20,number_of_bedrooms,1,110,10286.321089476887,9780.231762084853,11562.143137037583,26594.42598341837,427.0,0.27222222222222225,7228.934360786372,15049.302528601278,0.8909090909090909
2025-01-20,listing_type,apartamento,737,16711.590898074126,15895.521771917936,17720.37566404861,43206.425634395804,540.0,0.36666666666666664,10214.14608680901,26348.79687482897,0.7598371777476255
2025-01-20,listing_type,casa,33,15456.212998070789,12699.270294599022,23834.941100910324,39960.750688762186,500.0,0.35555555555555557,7824.100487020893,36404.30964143011,0.6666666666666666

