suburb_clean,bedrooms,n_sales,median_sale_price,median_usable_area,median_price_per_sqm,median_monthly_condo,median_yearly_iptu,n_listings,median_annual_gross_base,median_gross_revenue_proxy_90,median_adr,median_occupancy_proxy,setup_cost,total_investment,annual_noi_base,net_yield_base,payback_years_base,evidence_level
Tabuleiro dos Oliveiras,2,109,780000.0,69.0,11660.238095238095,400.0,900.0,10,32234.20700320734,12467.702950475039,447.5,0.34444444444444444,110000,929000.0,15896.918692148916,0.01711186080963285,58.43899802159833,Baixa
Morretes,2,1031,790000.0,69.0,11562.5,350.0,850.0,38,29934.291749360134,11578.130571871769,449.25,0.27222222222222225,110000,939500.0,15005.975472071288,0.015972299597734208,62.60839235333763,Alta
Meia Praia,1,56,877500.0,40.0,21250.0,727.5,1000.0,15,34169.084342276816,13216.084193628425,480.0,0.35555555555555557,85000,1006375.0,13163.286509325466,0.01307990213322615,76.45317142394785,Média
Meia Praia,2,241,1070000.0,85.0,12826.08695652174,500.0,1083.0,90,33913.22379947621,13117.121211723272,450.0,0.34444444444444444,110000,1233500.0,15638.85994564906,0.012678443409524977,78.87403584960016,Alta
Centro,2,84,1122500.0,85.5,13181.193524096387,500.0,1000.0,47,32598.917253261432,12608.767350173639,627.0,0.24444444444444444,110000,1288625.0,14841.274559685156,0.011517140021096252,86.82711143289684,Alta
Centro,1,19,890000.0,42.0,16250.0,550.0,1200.0,70,25838.413671537983,9993.906980127504,460.5,0.24444444444444444,85000,1019500.0,9511.737159930446,0.009329805944022017,107.18336544188685,Média
Meia Praia,3,1652,1880000.0,129.0,14957.264957264957,650.0,1700.0,201,43220.11854433471,16716.8871082036,690.0,0.3,135000,2109000.0,19457.479424704256,0.009225926706829899,108.39019556265345,Alta
Meia Praia,4,1195,3500000.0,187.0,18201.43157894737,950.0,3053.0,32,65859.39530990097,25473.41639706081,899.5,0.31666666666666665,160000,3835000.0,29672.794857633642,0.007737365021547234,129.24296543011368,Alta
Centro,3,430,2100000.0,131.0,15789.473684210527,693.5,1690.0,27,40882.26131352337,15812.63934769639,699.0,0.3111111111111111,135000,2340000.0,17379.115080060656,0.007426972256436177,134.6443699359998,Média

