suburb_clean,number_of_bedrooms,n_listings,median_gross_revenue_proxy_90,gross_revenue_proxy_90_ci_low,gross_revenue_proxy_90_ci_high,median_annual_gross_base,median_adr,median_occupancy_proxy,q25_gross_revenue_proxy_90,q75_gross_revenue_proxy_90,strict_sample_share
Meia Praia,4,32,25473.41639706081,20590.60426191505,35078.74436971747,65859.39530990097,899.5,0.31666666666666665,16082.445266251267,37577.23663079918,1.0
Meia Praia,3,201,16716.8871082036,15681.447615548974,18143.10089073732,43220.11854433471,690.0,0.3,11559.849007263847,23741.420723608768,1.0
Centro,3,27,15812.63934769639,11906.957948406733,24647.92110222675,40882.26131352337,699.0,0.3111111111111111,9394.645681745227,25088.92260119276,1.0
Meia Praia,1,15,13216.084193628425,10276.859303194611,17612.36079842995,34169.084342276816,480.0,0.35555555555555557,10460.811159651776,18064.440993551183,1.0
Meia Praia,2,90,13117.121211723272,11265.645511376226,15567.918999593863,33913.22379947621,450.0,0.34444444444444444,8953.40403793308,20089.959382883873,1.0
Centro,2,47,12608.767350173639,10060.611726552237,15116.427202053019,32598.917253261432,627.0,0.24444444444444444,8640.843912159111,17913.331162224596,1.0
Tabuleiro dos Oliveiras,2,10,12467.702950475039,6519.979030142443,17994.03498524696,32234.20700320734,447.5,0.34444444444444444,6692.681669133601,16852.672931046312,1.0
Morretes,2,38,11578.130571871769,9181.089759886265,13226.400864512138,29934.291749360134,449.25,0.27222222222222225,6902.756771833375,15951.73600708286,1.0
Centro,1,70,9993.906980127504,8501.044536618683,10625.405459273028,25838.413671537983,460.5,0.24444444444444444,7228.934360786372,12544.371195784668,1.0

